,index,class_id,class_label,class_serialization,id,label,serialization,actual,predicted,rationale
0,25,http://caligraph.org/ontology/Argentine_football_manager,Argentine football manager,"""http://caligraph.org/ontology/Argentine_football_manager""	""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""	""http://www.w3.org/2002/07/owl#Class""
""http://caligraph.org/ontology/Argentine_football_manager""	""http://www.w3.org/2000/01/rdf-schema#label""	""Argentine football manager""
""http://caligraph.org/ontology/Argentine_football_manager""	""http://www.w3.org/2000/01/rdf-schema#subClassOf""	""http://caligraph.org/ontology/Argentine_sports_coach""
""http://caligraph.org/ontology/Argentine_football_manager""	""http://www.w3.org/2000/01/rdf-schema#subClassOf""	""http://caligraph.org/ontology/Football_manager_in_Argentina""
""http://caligraph.org/ontology/Argentine_football_manager""	""http://www.w3.org/2000/01/rdf-schema#subClassOf""	""http://caligraph.org/ontology/RestrictionHasValue_birthPlace_Argentina""
""http://caligraph.org/ontology/Argentine_football_manager""	""http://www.w3.org/ns/prov#wasDerivedFrom""	""http://en.wikipedia.org/wiki/Category:Argentine_football_managers""
""http://caligraph.org/resource/Horacio_Bongiovanni""	""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""	""http://caligraph.org/ontology/Argentine_football_manager""
""http://caligraph.org/resource/Jos%C3%A9_Garc%C3%ADa_P%C3%A9rez""	""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""	""http://caligraph.org/ontology/Argentine_football_manager""
""http://caligraph.org/resource/Jos%C3%A9_Varacka""	""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""	""http://caligraph.org/ontology/Argentine_football_manager""
""http://caligraph.org/resource/Lucas_Ochandorena""	""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""	""http://caligraph.org/ontology/Argentine_football_manager""
""http://caligraph.org/resource/Hector_Alfredo_D'Angelo""	""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""	""http://caligraph.org/ontology/Argentine_football_manager""
